Date,Ozone,Solar,Wind,Temp
1976-05-01,41,190,7.4,67
1976-05-02,36,118,8,72
1976-05-03,12,149,12.6,74
1976-05-04,18,313,11.5,62
1976-05-05,NA,NA,14.3,56
1976-05-06,28,NA,14.9,66
1976-05-07,23,299,8.6,65
1976-05-08,19,99,13.8,59
1976-05-09,8,19,20.1,61
1976-05-10,NA,194,8.6,69
1976-05-11,7,NA,6.9,74
1976-05-12,16,256,9.7,69
1976-05-13,11,290,9.2,66
1976-05-14,14,274,10.9,68
1976-05-15,18,65,13.2,58
1976-05-16,14,334,11.5,64
1976-05-17,34,307,12,66
1976-05-18,6,78,18.4,57
1976-05-19,30,322,11.5,68
1976-05-20,11,44,9.7,62
1976-05-21,1,8,9.7,59
1976-05-22,11,320,16.6,73
1976-05-23,4,25,9.7,61
1976-05-24,32,92,12,61
1976-05-25,NA,66,16.6,57
1976-05-26,NA,266,14.9,58
1976-05-27,NA,NA,8,57
1976-05-28,23,13,12,67
1976-05-29,45,252,14.9,81
1976-05-30,115,223,5.7,79
1976-05-31,37,279,7.4,76
1976-06-01,NA,286,8.6,78
1976-06-02,NA,287,9.7,74
1976-06-03,NA,242,16.1,67
1976-06-04,NA,186,9.2,84
1976-06-05,NA,220,8.6,85
1976-06-06,NA,264,14.3,79
1976-06-07,29,127,9.7,82
1976-06-08,NA,273,6.9,87
1976-06-09,71,291,13.8,90
1976-06-10,39,323,11.5,87
1976-06-11,NA,259,10.9,93
1976-06-12,NA,250,9.2,92
1976-06-13,23,148,8,82
1976-06-14,NA,332,13.8,80
1976-06-15,NA,322,11.5,79
1976-06-16,21,191,14.9,77
1976-06-17,37,284,20.7,72
1976-06-18,20,37,9.2,65
1976-06-19,12,120,11.5,73
1976-06-20,13,137,10.3,76
1976-06-21,NA,150,6.3,77
1976-06-22,NA,59,1.7,76
1976-06-23,NA,91,4.6,76
1976-06-24,NA,250,6.3,76
1976-06-25,NA,135,8,75
1976-06-26,NA,127,8,78
1976-06-27,NA,47,10.3,73
1976-06-28,NA,98,11.5,80
1976-06-29,NA,31,14.9,77
1976-06-30,NA,138,8,83
1976-07-01,135,269,4.1,84
1976-07-02,49,248,9.2,85
1976-07-03,32,236,9.2,81
1976-07-04,NA,101,10.9,84
1976-07-05,64,175,4.6,83
1976-07-06,40,314,10.9,83
1976-07-07,77,276,5.1,88
1976-07-08,97,267,6.3,92
1976-07-09,97,272,5.7,92
1976-07-10,85,175,7.4,89
1976-07-11,NA,139,8.6,82
1976-07-12,10,264,14.3,73
1976-07-13,27,175,14.9,81
1976-07-14,NA,291,14.9,91
1976-07-15,7,48,14.3,80
1976-07-16,48,260,6.9,81
1976-07-17,35,274,10.3,82
1976-07-18,61,285,6.3,84
1976-07-19,79,187,5.1,87
1976-07-20,63,220,11.5,85
1976-07-21,16,7,6.9,74
1976-07-22,NA,258,9.7,81
1976-07-23,NA,295,11.5,82
1976-07-24,80,294,8.6,86
1976-07-25,108,223,8,85
1976-07-26,20,81,8.6,82
1976-07-27,52,82,12,86
1976-07-28,82,213,7.4,88
1976-07-29,50,275,7.4,86
1976-07-30,64,253,7.4,83
1976-07-31,59,254,9.2,81
1976-08-01,39,83,6.9,81
1976-08-02,9,24,13.8,81
1976-08-03,16,77,7.4,82
1976-08-04,78,NA,6.9,86
1976-08-05,35,NA,7.4,85
1976-08-06,66,NA,4.6,87
1976-08-07,122,255,4,89
1976-08-08,89,229,10.3,90
1976-08-09,110,207,8,90
1976-08-10,NA,222,8.6,92
1976-08-11,NA,137,11.5,86
1976-08-12,44,192,11.5,86
1976-08-13,28,273,11.5,82
1976-08-14,65,157,9.7,80
1976-08-15,NA,64,11.5,79
1976-08-16,22,71,10.3,77
1976-08-17,59,51,6.3,79
1976-08-18,23,115,7.4,76
1976-08-19,31,244,10.9,78
1976-08-20,44,190,10.3,78
1976-08-21,21,259,15.5,77
1976-08-22,9,36,14.3,72
1976-08-23,NA,255,12.6,75
1976-08-24,45,212,9.7,79
1976-08-25,168,238,3.4,81
1976-08-26,73,215,8,86
1976-08-27,NA,153,5.7,88
1976-08-28,76,203,9.7,97
1976-08-29,118,225,2.3,94
1976-08-30,84,237,6.3,96
1976-08-31,85,188,6.3,94
1976-09-01,96,167,6.9,91
1976-09-02,78,197,5.1,92
1976-09-03,73,183,2.8,93
1976-09-04,91,189,4.6,93
1976-09-05,47,95,7.4,87
1976-09-06,32,92,15.5,84
1976-09-07,20,252,10.9,80
1976-09-08,23,220,10.3,78
1976-09-09,21,230,10.9,75
1976-09-10,24,259,9.7,73
1976-09-11,44,236,14.9,81
1976-09-12,21,259,15.5,76
1976-09-13,28,238,6.3,77
1976-09-14,9,24,10.9,71
1976-09-15,13,112,11.5,71
1976-09-16,46,237,6.9,78
1976-09-17,18,224,13.8,67
1976-09-18,13,27,10.3,76
1976-09-19,24,238,10.3,68
1976-09-20,16,201,8,82
1976-09-21,13,238,12.6,64
1976-09-22,23,14,9.2,71
1976-09-23,36,139,10.3,81
1976-09-24,7,49,10.3,69
1976-09-25,14,20,16.6,63
1976-09-26,30,193,6.9,70
1976-09-27,NA,145,13.2,77
1976-09-28,14,191,14.3,75
1976-09-29,18,131,8,76
1976-09-30,20,223,11.5,68
